Total time to read binary file: 2.107804s 

Total time to find solution with A_star: 9.438836s 

Node id:240949599 	 | Distance:0.000000
Node id:240944785 	 | Distance:26.926933
Node id:240936347 	 | Distance:40.716571
Node id:240936348 	 | Distance:82.863623
Node id:30647274 	 | Distance:101.262493
Node id:240939090 	 | Distance:106.755711
Node id:30647313 	 | Distance:122.532138
Node id:240934220 	 | Distance:147.014331
Node id:240934857 	 | Distance:172.166169
Node id:240936350 	 | Distance:212.190910
Node id:240936351 	 | Distance:237.406770
Node id:240936353 	 | Distance:254.873192
Node id:30227495 	 | Distance:266.490558
Node id:209110229 	 | Distance:289.879555
Node id:209110228 	 | Distance:323.972728
Node id:209110227 	 | Distance:362.148398
Node id:30297907 	 | Distance:384.687350
Node id:30646194 	 | Distance:424.648509
Node id:209057499 	 | Distance:463.042816
Node id:209134967 	 | Distance:474.682582
Node id:209137015 	 | Distance:518.585534
Node id:209057497 	 | Distance:525.961673
Node id:30243957 	 | Distance:567.982865
Node id:209132794 	 | Distance:588.659701
Node id:209132796 	 | Distance:615.164405
Node id:1400545466 	 | Distance:620.700401
Node id:209132797 	 | Distance:649.138689
Node id:30252199 	 | Distance:654.737906
Node id:30252198 	 | Distance:676.439231
Node id:30252197 	 | Distance:714.954260
Node id:30252196 	 | Distance:734.967122
Node id:30252195 	 | Distance:778.233098
Node id:30252194 	 | Distance:809.284312
Node id:194551073 	 | Distance:832.266324
Node id:1400723041 	 | Distance:840.724763
Node id:1400723040 	 | Distance:842.879387
Node id:1400723038 	 | Distance:855.171991
Node id:1400723037 	 | Distance:858.140866
Node id:546558623 	 | Distance:860.878164
Node id:546558620 	 | Distance:868.598295
Node id:546558621 	 | Distance:875.065113
Node id:544807066 	 | Distance:876.506611
Node id:544807062 	 | Distance:879.325225
Node id:1400723031 	 | Distance:882.829465
Node id:1400723029 	 | Distance:887.408116
Node id:1400723032 	 | Distance:890.672018
Node id:30227477 	 | Distance:941.791675
Node id:30227476 	 | Distance:953.946327
Node id:30227475 	 | Distance:963.137323
Node id:442537842 	 | Distance:981.514188
Node id:30227474 	 | Distance:984.674230
Node id:192551166 	 | Distance:988.910939
Node id:30227473 	 | Distance:999.418888
Node id:30227472 	 | Distance:1031.982652
Node id:192082712 	 | Distance:1071.440338
Node id:432592964 	 | Distance:1083.684339
Node id:30227035 	 | Distance:1087.022286
Node id:1514098857 	 | Distance:1126.168557
Node id:30227469 	 | Distance:1143.372418
Node id:30227468 	 | Distance:1186.715734
Node id:30227467 	 | Distance:1235.037602
Node id:30227466 	 | Distance:1263.507492
Node id:30227465 	 | Distance:1300.781172
Node id:96429480 	 | Distance:1324.608798
Node id:30227464 	 | Distance:1337.387494
Node id:96429481 	 | Distance:1347.605734
Node id:30227463 	 | Distance:1371.229742
Node id:30227462 	 | Distance:1391.590041
Node id:30227461 	 | Distance:1408.045582
Node id:30227460 	 | Distance:1422.232447
Node id:1400544019 	 | Distance:1438.369448
Node id:1400544018 	 | Distance:1466.624507
Node id:30884292 	 | Distance:1494.724043
Node id:30227456 	 | Distance:1533.843258
Node id:30227454 	 | Distance:1573.625752
Node id:30227453 	 | Distance:1608.944436
Node id:30227452 	 | Distance:1638.621580
Node id:30227451 	 | Distance:1678.310546
Node id:30227450 	 | Distance:1718.381555
Node id:30227449 	 | Distance:1759.241656
Node id:30227448 	 | Distance:1781.186885
Node id:1043786412 	 | Distance:1783.125546
Node id:30238199 	 | Distance:1915.423701
Node id:30238198 	 | Distance:2047.506876
Node id:30238197 	 | Distance:2185.289300
Node id:905811229 	 | Distance:2302.041687
Node id:905811222 	 | Distance:2326.047657
Node id:905811223 	 | Distance:2352.267720
Node id:905811221 	 | Distance:2354.124675
Node id:903233267 	 | Distance:2516.324828
Node id:30246866 	 | Distance:2542.341603
Node id:626135660 	 | Distance:2707.624131
Node id:30298842 	 | Distance:2733.267499
Node id:899314386 	 | Distance:2889.849705
Node id:899314388 	 | Distance:2920.751917
Node id:771231969 	 | Distance:3060.462490
Node id:26057048 	 | Distance:3094.133912
Node id:803435598 	 | Distance:3109.763538
Node id:1193548822 	 | Distance:3117.442749
Node id:71710025 	 | Distance:3125.287126
Node id:1193548807 	 | Distance:3133.075934
Node id:26057052 	 | Distance:3139.795497
Node id:534633415 	 | Distance:3145.124185
Node id:26057049 	 | Distance:3152.065078
Node id:803435595 	 | Distance:3164.117407
Node id:26057053 	 | Distance:3175.786667
Node id:168319807 	 | Distance:3185.459737
Node id:1193548729 	 | Distance:3204.251002
Node id:26057050 	 | Distance:3220.713918
Node id:771231898 	 | Distance:3241.235311
Node id:760332218 	 | Distance:3308.740584
Node id:178518958 	 | Distance:3324.385254
Node id:760332200 	 | Distance:3504.128820
Node id:760332216 	 | Distance:3518.885361
Node id:760332225 	 | Distance:3676.337609
Node id:760332206 	 | Distance:3694.588300
Node id:760332209 	 | Distance:3779.453612
Node id:760332213 	 | Distance:3797.602130
Node id:760332211 	 | Distance:3891.717741
Node id:760332217 	 | Distance:3940.919485
Node id:760332202 	 | Distance:3968.671801
Node id:760332222 	 | Distance:4015.728684
Node id:760332215 	 | Distance:4130.311806
Node id:760332203 	 | Distance:4194.377469
Node id:760332148 	 | Distance:4296.389030
Node id:1121909773 	 | Distance:4323.758014
Node id:30307945 	 | Distance:4334.951697
Node id:1477573164 	 | Distance:4346.018500
Node id:463272130 	 | Distance:4358.176207
Node id:463272134 	 | Distance:5329.538409
Node id:951428771 	 | Distance:5397.976741
Node id:463272136 	 | Distance:6048.320135
Node id:463272139 	 | Distance:6747.951555
Node id:1500119405 	 | Distance:6841.237192
Node id:1118408118 	 | Distance:6847.563843
Node id:1118396319 	 | Distance:6855.188988
Node id:1500119409 	 | Distance:6863.803764
Node id:1066620308 	 | Distance:6867.211280
Node id:1066620307 	 | Distance:7329.807803
Node id:1066620306 	 | Distance:7387.954325
Node id:1118396240 	 | Distance:7569.367930
Node id:1066620305 	 | Distance:7982.514725
Node id:1066620303 	 | Distance:8050.882802
Node id:1066620302 	 | Distance:8354.718760
Node id:1066620300 	 | Distance:8416.046996
Node id:1066620299 	 | Distance:8482.344743
Node id:1066620298 	 | Distance:8553.629329
Node id:1066620297 	 | Distance:8617.975064
Node id:1066620294 	 | Distance:8678.988075
Node id:1066620290 	 | Distance:8749.179935
Node id:1066620289 	 | Distance:8832.695010
Node id:1066620285 	 | Distance:8910.946180
Node id:1066620278 	 | Distance:9126.636336
Node id:1066620277 	 | Distance:9405.142136
Node id:1066620271 	 | Distance:9495.968206
Node id:1066620653 	 | Distance:9746.358313
Node id:1066620743 	 | Distance:10023.445808
Node id:1066620742 	 | Distance:10449.573361
Node id:1066620735 	 | Distance:10719.802275
Node id:1066620733 	 | Distance:10987.248060
Node id:1066620731 	 | Distance:11106.769327
Node id:1066620730 	 | Distance:11221.025171
Node id:1066620728 	 | Distance:11494.756459
Node id:1118396194 	 | Distance:11647.026664
Node id:1066620726 	 | Distance:11809.779852
Node id:1066620723 	 | Distance:12376.114165
Node id:1066620721 	 | Distance:12762.032411
Node id:1066620716 	 | Distance:13116.463867
Node id:1066620715 	 | Distance:13583.880164
Node id:1066620713 	 | Distance:13700.905603
Node id:1066620708 	 | Distance:13777.641189
Node id:1066620704 	 | Distance:13798.040236
Node id:1066620702 	 | Distance:14126.285133
Node id:1066620700 	 | Distance:14555.896704
Node id:1066620698 	 | Distance:15214.374464
Node id:1066620696 	 | Distance:15632.835996
Node id:1066620695 	 | Distance:15997.600658
Node id:1066620694 	 | Distance:16497.046955
Node id:1066620692 	 | Distance:16669.664351
Node id:1066620691 	 | Distance:16995.855461
Node id:1324546086 	 | Distance:17517.814630
Node id:1324546035 	 | Distance:17565.765811
Node id:1324546060 	 | Distance:17659.220170
Node id:1324546045 	 | Distance:17723.457778
Node id:1324546074 	 | Distance:17809.043131
Node id:1324546076 	 | Distance:17908.106385
Node id:1324546048 	 | Distance:17967.465238
Node id:1324546044 	 | Distance:18046.460779
Node id:1324546073 	 | Distance:18120.013007
Node id:1324546047 	 | Distance:18165.717237
Node id:1324546051 	 | Distance:18223.669752
Node id:1324546041 	 | Distance:18296.270811
Node id:1066620686 	 | Distance:18355.217714
Node id:1066620685 	 | Distance:18619.660121
Node id:1066620683 	 | Distance:19070.444685
Node id:1066620681 	 | Distance:19231.770773
Node id:1066620680 	 | Distance:19272.342700
Node id:1066620904 	 | Distance:19467.335779
Node id:1066620901 	 | Distance:19880.398753
Node id:1066620894 	 | Distance:20093.100534
Node id:1066620878 	 | Distance:20120.983554
Node id:1066620875 	 | Distance:20314.209698
Node id:1066620872 	 | Distance:21069.831710
Node id:1066620868 	 | Distance:21367.855493
Node id:213850148 	 | Distance:21474.636764
Node id:213850146 	 | Distance:21650.465623
Node id:213850144 	 | Distance:21892.612354
Node id:46920795 	 | Distance:22112.515890
Node id:970923304 	 | Distance:22458.583506
Node id:970923345 	 | Distance:22484.551817
Node id:206963838 	 | Distance:22679.069934
Node id:209145840 	 | Distance:22894.950434
Node id:46920784 	 | Distance:23081.913034
Node id:209145274 	 | Distance:23155.762204
Node id:206963837 	 | Distance:23269.407566
Node id:206963836 	 | Distance:23442.326755
Node id:46920757 	 | Distance:23571.996434
Node id:209178380 	 | Distance:23623.838749
Node id:206963835 	 | Distance:23677.310227
